"time_hour";"carrier";"flight";"tailnum";"origin";"dest";"hora_prevista_partida";"hora_prevista_chegada";"hora_partida";"hora_chegada"
2013-01-01 06:00:00;"UA";1124;"N53441";"EWR";"SFO";"6:00";"9:37";"5:58";"9:23"
2013-01-01 06:00:00;"UA";303;"N532UA";"JFK";"SFO";"6:00";"9:31";"6:11";"9:45"
2013-01-01 07:00:00;"DL";1865;"N705TW";"JFK";"SFO";"7:00";"10:45";"6:55";"10:37"
2013-01-01 07:00:00;"VX";11;"N635VA";"JFK";"SFO";"7:30";"11:15";"7:29";"10:49"
2013-01-01 07:00:00;"B6";643;"N625JB";"JFK";"SFO";"7:37";"11:13";"7:34";"10:47"
2013-01-01 07:00:00;"AA";59;"N336AA";"JFK";"SFO";"7:45";"11:25";"7:45";"11:35"
2013-01-01 07:00:00;"UA";1668;"N24224";"EWR";"SFO";"7:46";"11:29";"7:46";"11:19"
2013-01-01 08:00:00;"UA";223;"N510UA";"JFK";"SFO";"8:00";"11:44";"8:03";"11:32"
2013-01-01 08:00:00;"UA";1480;"N76522";"EWR";"SFO";"8:17";"11:58";"8:26";"11:45"
2013-01-01 10:00:00;"AA";179;"N325AA";"JFK";"SFO";"10:30";"13:55";"10:29";"14:27"
2013-01-01 10:00:00;"VX";23;"N625VA";"JFK";"SFO";"10:30";"14:15";"10:31";"13:53"
2013-01-01 10:00:00;"UA";688;"N521UA";"EWR";"SFO";"10:47";"14:05";"11:05";"14:28"
2013-01-01 11:00:00;"UA";285;"N517UA";"JFK";"SFO";"11:00";"14:38";"11:12";"14:40"
2013-01-01 11:00:00;"B6";641;"N590JB";"JFK";"SFO";"11:00";"14:31";"11:24";"14:35"
2013-01-01 12:00:00;"VX";25;"N843VA";"JFK";"SFO";"12:00";"15:45";"12:03";"15:19"
2013-01-01 12:00:00;"UA";391;"N573UA";"EWR";"SFO";"12:18";"15:29";"12:17";"15:25"
2013-01-01 14:00:00;"UA";257;"N502UA";"JFK";"SFO";"14:25";"17:59";"14:22";"17:48"
2013-01-01 14:00:00;"DL";1322;"N722TW";"JFK";"SFO";"14:35";"18:20";"14:36";"18:40"
2013-01-01 15:00:00;"UA";1699;"N53442";"EWR";"SFO";"15:16";"18:32";"15:18";"18:37"
2013-01-01 15:00:00;"AA";85;"N342AA";"JFK";"SFO";"15:30";"19:10";"15:39";"19:04"
2013-01-01 16:00:00;"VX";27;"N847VA";"JFK";"SFO";"16:30";"20:20";"16:27";"19:40"
2013-01-01 17:00:00;"DL";31;"N713TW";"JFK";"SFO";"17:00";"20:49";"16:55";"20:27"
2013-01-01 17:00:00;"UA";512;"N557UA";"JFK";"SFO";"17:29";"21:00";"17:26";"20:42"
2013-01-01 17:00:00;"UA";1284;"N14120";"EWR";"SFO";"17:18";"20:55";"17:29";"20:52"
2013-01-01 18:00:00;"UA";389;"N508UA";"JFK";"SFO";"18:45";"22:26";"18:40";"22:23"
2013-01-01 17:00:00;"AA";177;"N332AA";"JFK";"SFO";"17:45";"21:20";"18:48";"22:38"
2013-01-01 18:00:00;"VX";29;"N638VA";"JFK";"SFO";"18:50";"22:40";"18:50";"22:49"
2013-01-01 19:00:00;"DL";853;"N727TW";"JFK";"SFO";"19:00";"23:01";"19:05";"23:11"
2013-01-01 19:00:00;"UA";1606;"N76503";"EWR";"SFO";"19:04";"22:46";"19:15";"22:42"
2013-01-01 19:00:00;"B6";645;"N652JB";"JFK";"SFO";"19:45";"23:29";"19:57";"23:07"
2013-01-02 06:00:00;"UA";303;"N505UA";"JFK";"SFO";"6:00";"9:31";"5:58";"9:16"
2013-01-02 06:00:00;"UA";421;"N832UA";"EWR";"SFO";"6:00";"9:35";"6:05";"8:51"
